customer_id,customer_name,SEGMENT,orders,first_order,last_order,days_since_last
DK-12985,Darren Koutras,Consumer,5,2014-11-24,2017-12-23,2873
CM-12115,Chad McGuire,Consumer,4,2015-03-29,2017-12-22,2874
CM-12190,Charlotte Melton,Consumer,6,2015-09-18,2017-12-22,2874
AG-10330,Alex Grayson,Consumer,5,2016-08-03,2017-12-22,2874
JL-15130,Jack Lebron,Consumer,6,2014-07-18,2017-12-22,2874
JM-15655,Jim Mitchum,Corporate,5,2014-04-08,2017-12-22,2874
JP-15520,Jeremy Pistek,Consumer,7,2014-08-22,2017-12-22,2874
SG-20080,Sandra Glassco,Consumer,3,2015-10-31,2017-12-22,2874
SK-19990,Sally Knutson,Consumer,3,2016-11-28,2017-12-22,2874
TP-21130,Theone Pippenger,Consumer,9,2015-04-14,2017-12-22,2874
SR-20425,Sharelle Roach,Home Office,5,2014-06-14,2017-12-22,2874
YS-21880,Yana Sorensen,Corporate,8,2015-01-12,2017-12-21,2875
SE-20110,Sanjit Engle,Consumer,11,2014-04-11,2017-12-21,2875
PK-19075,Pete Kriz,Consumer,12,2014-11-11,2017-12-21,2875
RB-19465,Rick Bensley,Home Office,12,2014-03-14,2017-12-21,2875
LP-17095,Liz Preis,Consumer,7,2016-06-06,2017-12-21,2875
BN-11515,Bradley Nguyen,Consumer,5,2014-03-17,2017-12-21,2875
BD-11635,Brian Derr,Consumer,3,2014-10-05,2017-12-21,2875
DB-13210,Dean Braden,Consumer,10,2015-03-22,2017-12-21,2875
DK-13150,David Kendrick,Corporate,2,2014-12-05,2017-12-20,2876
DK-13225,Dean Katz,Corporate,9,2014-03-14,2017-12-20,2876
AC-10450,Amy Cox,Consumer,7,2014-10-31,2017-12-19,2877
TS-21505,Tony Sayre,Consumer,6,2014-12-20,2017-12-19,2877
TT-21460,Tonja Turnell,Home Office,7,2015-12-08,2017-12-18,2878
RA-19915,Russell Applegate,Consumer,9,2014-06-30,2017-12-18,2878
AH-10030,Aaron Hawkins,Corporate,7,2014-04-22,2017-12-18,2878
BP-11290,Beth Paige,Consumer,7,2014-10-03,2017-12-18,2878
EP-13915,Emily Phan,Consumer,17,2014-07-06,2017-12-18,2878
DJ-13630,Doug Jacobs,Consumer,3,2015-12-14,2017-12-18,2878
DB-13660,Duane Benoit,Consumer,7,2014-06-17,2017-12-18,2878
HE-14800,Harold Engle,Corporate,4,2016-01-30,2017-12-18,2878
HR-14770,Hallie Redmond,Home Office,5,2014-03-01,2017-12-17,2879
GB-14575,Giulietta Baptist,Consumer,5,2015-06-12,2017-12-17,2879
LC-17140,Logan Currie,Consumer,9,2014-09-09,2017-12-17,2879
CA-12310,Christine Abelman,Corporate,4,2014-07-19,2017-12-17,2879
AI-10855,Arianne Irving,Consumer,10,2014-04-28,2017-12-17,2879
AT-10735,Annie Thurman,Consumer,10,2014-08-30,2017-12-17,2879
VF-21715,Vicky Freymann,Home Office,5,2014-03-01,2017-12-17,2879
RD-19810,Ross DeVincentis,Home Office,8,2014-10-27,2017-12-16,2880
AY-10555,Andy Yotov,Corporate,4,2014-04-06,2017-12-16,2880
AR-10510,Andrew Roberts,Consumer,5,2014-05-02,2017-12-16,2880
KM-16225,Kalyca Meade,Corporate,6,2015-07-06,2017-12-16,2880
KM-16660,Khloe Miller,Consumer,5,2014-12-22,2017-12-15,2881
PL-18925,Paul Lucas,Home Office,5,2014-11-01,2017-12-15,2881
SS-20140,Saphhira Shifley,Corporate,8,2014-11-23,2017-12-15,2881
LC-16885,Lena Creighton,Consumer,12,2014-04-25,2017-12-14,2882
KL-16555,Kelly Lampkin,Corporate,8,2014-06-15,2017-12-14,2882
MP-18175,Mike Pelletier,Home Office,9,2014-03-28,2017-12-14,2882
GM-14455,Gary Mitchum,Home Office,6,2014-04-11,2017-12-14,2882
BF-11170,Ben Ferrer,Home Office,11,2014-04-13,2017-12-14,2882
DB-13060,Dave Brooks,Consumer,7,2014-03-01,2017-12-14,2882
BP-11095,Bart Pistole,Corporate,12,2014-06-07,2017-12-13,2883
MW-18220,Mitch Webber,Consumer,7,2014-08-25,2017-12-13,2883
MV-18190,Mike Vittorini,Consumer,7,2014-01-30,2017-12-11,2885
NB-18655,Nona Balk,Corporate,9,2014-12-05,2017-12-11,2885
KN-16390,Katherine Nockton,Corporate,9,2014-12-02,2017-12-11,2885
AS-10285,Alejandro Savely,Corporate,6,2016-05-21,2017-12-11,2885
AA-10375,Allen Armold,Consumer,9,2014-04-21,2017-12-11,2885
DK-13375,Dennis Kane,Consumer,8,2014-09-07,2017-12-11,2885
DV-13045,Darrin Van Huff,Corporate,5,2016-06-12,2017-12-11,2885
RB-19435,Richard Bierner,Consumer,8,2014-03-11,2017-12-11,2885
RR-19315,Ralph Ritter,Consumer,2,2016-11-14,2017-12-11,2885
RS-19870,Roy Skaria,Home Office,2,2016-06-07,2017-12-11,2885
SU-20665,Stephanie Ulpright,Home Office,7,2015-12-05,2017-12-10,2886
WB-21850,William Brown,Consumer,11,2014-11-04,2017-12-10,2886
AW-10840,Anthony Witt,Consumer,4,2015-04-13,2017-12-10,2886
BT-11680,Brian Thompson,Consumer,7,2014-11-28,2017-12-10,2886
CC-12220,Chris Cortes,Consumer,12,2014-09-09,2017-12-10,2886
LS-16975,Lindsay Shagiari,Home Office,9,2014-10-20,2017-12-10,2886
HA-14920,Helen Andreada,Consumer,8,2014-10-11,2017-12-10,2886
JE-16165,Justin Ellison,Corporate,3,2016-12-05,2017-12-10,2886
JL-15835,John Lee,Consumer,11,2014-04-18,2017-12-09,2887
HF-14995,Herbert Flentye,Consumer,7,2014-05-26,2017-12-09,2887
LE-16810,Laurel Elliston,Consumer,6,2014-05-27,2017-12-09,2887
LH-16900,Lena Hernandez,Consumer,9,2014-08-19,2017-12-09,2887
LW-17215,Luke Weiss,Consumer,7,2014-09-12,2017-12-09,2887
AT-10435,Alyssa Tate,Home Office,6,2014-11-24,2017-12-09,2887
AH-10585,Angele Hood,Consumer,4,2014-10-26,2017-12-09,2887
DB-12910,Daniel Byrd,Home Office,8,2014-10-24,2017-12-09,2887
DK-12835,Damala Kotsonis,Corporate,12,2014-03-26,2017-12-09,2887
RD-19720,Roger Demir,Consumer,10,2014-07-20,2017-12-09,2887
CW-11905,Carl Weiss,Home Office,6,2014-06-09,2017-12-08,2888
DL-13315,Delfina Latchford,Consumer,8,2014-01-16,2017-12-08,2888
DM-13345,Denise Monton,Corporate,8,2014-11-03,2017-12-08,2888
EG-13900,Emily Grady,Consumer,5,2015-11-02,2017-12-08,2888
AS-10225,Alan Schoenberger,Corporate,5,2014-10-18,2017-12-08,2888
LF-17185,Luke Foster,Consumer,7,2014-07-26,2017-12-08,2888
KH-16510,Keith Herrera,Consumer,7,2014-08-15,2017-12-08,2888
MJ-17740,Max Jones,Consumer,7,2015-06-09,2017-12-08,2888
HG-14965,Henry Goldwyn,Corporate,12,2014-09-20,2017-12-07,2889
FP-14320,Frank Preis,Consumer,8,2014-12-07,2017-12-07,2889
BH-11710,Brosina Hoffman,Consumer,8,2014-06-09,2017-12-07,2889
DS-13180,David Smith,Corporate,9,2014-04-28,2017-12-07,2889
DC-13285,Debra Catini,Consumer,5,2014-12-29,2017-12-07,2889
SH-20395,Shahid Hopkins,Consumer,10,2014-11-02,2017-12-07,2889
BN-11470,Brad Norvell,Corporate,4,2014-09-12,2017-12-06,2890
BF-11080,Bart Folk,Consumer,3,2014-11-28,2017-12-05,2891
AB-10165,Alan Barnes,Consumer,8,2014-11-16,2017-12-05,2891
CS-11950,Carlos Soltero,Consumer,11,2014-06-08,2017-12-05,2891
SM-20950,Suzanne McNair,Corporate,12,2014-09-29,2017-12-05,2891
RB-19570,Rob Beeghly,Consumer,5,2016-04-28,2017-12-05,2891
QJ-19255,Quincy Jones,Corporate,9,2014-03-17,2017-12-05,2891
NP-18325,Naresj Patel,Consumer,6,2014-05-13,2017-12-05,2891
PB-18805,Patrick Bzostek,Home Office,3,2015-11-20,2017-12-05,2891
CM-12160,Charles McCrossin,Consumer,6,2016-10-21,2017-12-04,2892
CS-12250,Chris Selesnick,Corporate,12,2014-01-13,2017-12-04,2892
DO-13645,Doug O'Connell,Consumer,7,2015-11-07,2017-12-04,2892
CB-12415,Christy Brittain,Consumer,8,2015-11-05,2017-12-04,2892
MS-17980,Michael Stewart,Corporate,6,2014-06-30,2017-12-04,2892
KE-16420,Katrina Edelman,Corporate,8,2014-04-03,2017-12-04,2892
LT-16765,Larry Tron,Consumer,3,2014-09-01,2017-12-04,2892
LR-16915,Lena Radford,Consumer,6,2014-08-08,2017-12-04,2892
MC-17575,Matt Collins,Consumer,8,2014-12-02,2017-12-03,2893
LC-16870,Lena Cacioppo,Consumer,8,2015-05-03,2017-12-03,2893
MV-17485,Mark Van Huff,Consumer,9,2014-01-20,2017-12-03,2893
ND-18370,Natalie DeCherney,Consumer,9,2014-01-13,2017-12-03,2893
CC-12550,Clay Cheatham,Consumer,3,2017-06-15,2017-12-03,2893
CS-12460,Chuck Sachs,Consumer,2,2017-07-03,2017-12-03,2893
CM-12655,Corinna Mitchell,Home Office,6,2015-03-19,2017-12-03,2893
TC-21295,Toby Carlisle,Consumer,8,2014-10-14,2017-12-03,2893
VW-21775,Victoria Wilson,Corporate,10,2014-05-11,2017-12-02,2894
RP-19855,Roy Phan,Corporate,8,2014-04-05,2017-12-02,2894
ES-14080,Erin Smith,Corporate,9,2014-10-02,2017-12-02,2894
BS-11380,Bill Stewart,Corporate,5,2014-11-29,2017-12-02,2894
BG-11035,Barry Gonzalez,Consumer,8,2014-11-05,2017-12-02,2894
AS-10090,Adam Shillingsburg,Consumer,9,2014-09-22,2017-12-02,2894
BB-11545,Brenda Bowman,Corporate,9,2015-06-05,2017-12-02,2894
AM-10360,Alice McCarthy,Corporate,5,2014-10-06,2017-12-02,2894
MK-17905,Michael Kennedy,Corporate,8,2014-11-18,2017-12-02,2894
ME-17725,Max Engle,Consumer,8,2014-07-12,2017-12-02,2894
KM-16720,Kunst Miller,Consumer,8,2014-03-30,2017-12-02,2894
GW-14605,Giulietta Weimer,Consumer,7,2014-03-01,2017-12-02,2894
JS-16030,Joy Smith,Consumer,6,2014-02-27,2017-12-02,2894
JK-16090,Juliana Krohn,Consumer,3,2015-04-21,2017-12-02,2894
JH-15985,Joseph Holt,Consumer,6,2014-08-09,2017-12-01,2895
MG-17650,Matthew Grinstein,Home Office,7,2014-08-09,2017-12-01,2895
ML-17755,Max Ludwig,Home Office,7,2016-08-04,2017-12-01,2895
MY-17380,Maribeth Yedwab,Corporate,7,2015-10-26,2017-12-01,2895
AD-10180,Alan Dominguez,Home Office,8,2014-11-19,2017-12-01,2895
CC-12670,Craig Carreira,Consumer,7,2014-12-23,2017-12-01,2895
DV-13465,Dianna Vittorini,Consumer,6,2014-06-22,2017-12-01,2895
SO-20335,Sean O'Donnell,Consumer,6,2015-10-11,2017-12-01,2895
SH-19975,Sally Hughsby,Corporate,13,2014-12-10,2017-12-01,2895
SJ-20215,Sarah Jordon,Consumer,6,2015-02-09,2017-12-01,2895
SC-20305,Sean Christensen,Consumer,7,2014-12-16,2017-12-01,2895
SC-20380,Shahid Collister,Consumer,9,2014-03-01,2017-11-30,2896
SC-20800,Stuart Calhoun,Consumer,4,2015-12-11,2017-11-30,2896
PN-18775,Parhena Norris,Home Office,8,2015-08-07,2017-11-30,2896
VP-21730,Victor Preis,Home Office,3,2015-07-05,2017-11-30,2896
SW-20275,Scott Williamson,Consumer,6,2014-03-10,2017-11-30,2896
TB-21625,Trudy Brown,Consumer,9,2014-08-06,2017-11-30,2896
MZ-17335,Maria Zettner,Home Office,4,2015-11-08,2017-11-30,2896
HP-14815,Harold Pawlan,Home Office,7,2014-05-06,2017-11-30,2896
TT-21070,Ted Trevino,Consumer,7,2014-05-18,2017-11-29,2897
RB-19795,Ross Baird,Home Office,8,2014-06-03,2017-11-28,2898
RH-19495,Rick Hansen,Consumer,5,2014-08-23,2017-11-28,2898
DG-13300,Deirdre Greer,Corporate,5,2014-11-01,2017-11-28,2898
DB-13615,Doug Bickford,Consumer,7,2014-09-30,2017-11-27,2899
BM-11650,Brian Moss,Corporate,11,2014-07-09,2017-11-27,2899
BD-11320,Bill Donatelli,Consumer,12,2015-05-31,2017-11-27,2899
JR-16210,Justin Ritter,Corporate,5,2015-09-18,2017-11-27,2899
LW-16990,Lindsay Williams,Corporate,6,2016-05-05,2017-11-27,2899
RP-19390,Resi PÃ¶lking,Consumer,12,2014-05-24,2017-11-27,2899
LS-17245,Lynn Smith,Consumer,6,2014-10-16,2017-11-26,2900
LT-17110,Liz Thompson,Consumer,8,2014-06-01,2017-11-26,2900
MN-17935,Michael Nguyen,Consumer,6,2014-02-16,2017-11-26,2900
GT-14755,Guy Thornton,Consumer,4,2015-02-18,2017-11-26,2900
FG-14260,Frank Gastineau,Home Office,7,2014-05-21,2017-11-26,2900
AH-10075,Adam Hart,Corporate,10,2014-11-16,2017-11-26,2900
CC-12610,Corey Catlett,Corporate,7,2014-08-27,2017-11-26,2900
BS-11590,Brendan Sweed,Corporate,6,2014-01-14,2017-11-25,2901
BD-11500,Bradley Drucker,Consumer,6,2014-02-01,2017-11-25,2901
EB-13750,Edward Becker,Corporate,10,2015-03-12,2017-11-25,2901
HZ-14950,Henia Zydlo,Consumer,5,2016-03-14,2017-11-25,2901
RO-19780,Rose O'Brian,Consumer,7,2015-05-12,2017-11-25,2901
TZ-21580,Tracy Zic,Consumer,4,2014-11-11,2017-11-25,2901
SZ-20035,Sam Zeldin,Home Office,11,2014-09-07,2017-11-25,2901
TS-21370,Todd Sumrall,Corporate,6,2014-10-28,2017-11-24,2902
RS-19765,Roland Schwarz,Corporate,8,2014-04-07,2017-11-24,2902
SC-20440,Shaun Chance,Corporate,7,2015-08-17,2017-11-24,2902
PR-18880,Patrick Ryan,Consumer,5,2014-09-05,2017-11-24,2902
PG-18820,Patrick Gardner,Consumer,13,2014-05-09,2017-11-24,2902
FM-14290,Frank Merwin,Home Office,9,2014-08-26,2017-11-24,2902
GT-14710,Greg Tran,Consumer,11,2014-05-23,2017-11-24,2902
KA-16525,Kelly Andreada,Consumer,7,2014-03-11,2017-11-24,2902
MD-17860,Michael Dominguez,Corporate,5,2014-12-02,2017-11-24,2902
BG-11695,Brooke Gillingham,Corporate,6,2014-05-11,2017-11-24,2902
DC-12850,Dan Campbell,Consumer,9,2014-07-05,2017-11-23,2903
CM-12385,Christopher Martinez,Consumer,4,2015-03-16,2017-11-23,2903
JP-15460,Jennifer Patt,Corporate,7,2014-08-24,2017-11-23,2903
JM-15250,Janet Martin,Consumer,6,2016-03-29,2017-11-23,2903
JM-15265,Janet Molinari,Corporate,5,2014-08-25,2017-11-23,2903
FH-14275,Frank Hawley,Corporate,10,2014-04-06,2017-11-23,2903
TD-20995,Tamara Dahlen,Consumer,9,2014-05-19,2017-11-23,2903
FO-14305,Frank Olsen,Consumer,10,2014-06-09,2017-11-22,2904
CK-12205,Chloris Kastensmidt,Consumer,13,2014-03-11,2017-11-21,2905
BF-11005,Barry Franz,Home Office,4,2014-09-25,2017-11-21,2905
BP-11230,Benjamin Patterson,Consumer,5,2014-04-20,2017-11-21,2905
CC-12475,Cindy Chapman,Consumer,9,2014-05-16,2017-11-21,2905
PJ-18835,Patrick Jones,Corporate,8,2014-05-28,2017-11-21,2905
SC-20050,Sample Company A,Home Office,9,2014-03-18,2017-11-20,2906
CD-11920,Carlos Daly,Consumer,5,2014-03-24,2017-11-20,2906
ES-14020,Erica Smith,Consumer,5,2014-09-20,2017-11-20,2906
LP-17080,Liz Pelletier,Consumer,4,2014-06-24,2017-11-20,2906
KH-16330,Katharine Harms,Corporate,8,2014-04-01,2017-11-20,2906
LC-16930,Linda Cazamias,Corporate,8,2014-02-20,2017-11-19,2907
KD-16345,Katherine Ducich,Consumer,6,2014-09-02,2017-11-19,2907
MC-18100,Mick Crebagga,Consumer,10,2014-06-18,2017-11-19,2907
NC-18415,Nathan Cano,Consumer,6,2014-05-03,2017-11-19,2907
JH-15910,Jonathan Howell,Consumer,7,2015-06-12,2017-11-19,2907
JD-16150,Justin Deggeller,Corporate,8,2014-11-16,2017-11-19,2907
DD-13570,Dorothy Dickinson,Consumer,6,2014-03-31,2017-11-19,2907
AS-10135,Adrian Shami,Home Office,2,2016-11-13,2017-11-19,2907
AP-10720,Anne Pryor,Home Office,8,2014-03-03,2017-11-19,2907
AF-10870,Art Ferguson,Consumer,7,2015-12-06,2017-11-19,2907
AB-10105,Adrian Barton,Consumer,10,2014-12-20,2017-11-19,2907
AB-10150,Aimee Bixby,Consumer,5,2014-03-05,2017-11-19,2907
SC-20770,Stewart Carmichael,Corporate,7,2015-06-20,2017-11-19,2907
RD-19930,Russell D'Ascenzo,Consumer,4,2014-10-03,2017-11-18,2908
CD-12280,Christina DeMoss,Consumer,2,2017-11-05,2017-11-18,2908
DK-13090,Dave Kipp,Consumer,7,2015-03-02,2017-11-18,2908
JW-15220,Jane Waco,Corporate,6,2015-04-30,2017-11-18,2908
JS-15685,Jim Sink,Corporate,4,2016-06-14,2017-11-18,2908
ME-17320,Maria Etezadi,Home Office,10,2014-01-06,2017-11-18,2908
GG-14650,Greg Guthrie,Corporate,9,2014-10-31,2017-11-17,2909
JB-16000,Joy Bell-,Consumer,7,2016-01-10,2017-11-17,2909
HL-15040,Hunter Lopez,Consumer,6,2014-01-20,2017-11-17,2909
CK-12595,Clytie Kelty,Consumer,11,2014-12-26,2017-11-17,2909
CC-12370,Christopher Conant,Consumer,5,2016-05-23,2017-11-17,2909
RA-19885,Ruben Ausman,Corporate,7,2014-04-08,2017-11-17,2909
XP-21865,Xylona Preis,Consumer,11,2014-01-20,2017-11-17,2909
EK-13795,Eileen Kiefer,Home Office,4,2014-03-18,2017-11-16,2910
JK-15370,Jay Kimmel,Consumer,8,2014-04-11,2017-11-16,2910
MB-18085,Mick Brown,Consumer,7,2014-01-05,2017-11-16,2910
MW-18235,Mitch Willingham,Corporate,2,2014-05-21,2017-11-16,2910
DK-12895,Dana Kaydos,Consumer,5,2015-03-08,2017-11-15,2911
AW-10930,Arthur Wiediger,Home Office,7,2014-07-14,2017-11-14,2912
JE-15715,Joe Elijah,Consumer,10,2014-08-25,2017-11-14,2912
PW-19030,Pauline Webber,Corporate,10,2014-05-16,2017-11-14,2912
SB-20290,Sean Braxton,Corporate,7,2014-05-09,2017-11-13,2913
SP-20620,Stefania Perrino,Corporate,9,2014-09-08,2017-11-13,2913
KL-16645,Ken Lonsdale,Consumer,12,2014-07-25,2017-11-13,2913
CB-12025,Cassandra Brandow,Consumer,10,2014-03-21,2017-11-13,2913
EM-14065,Erin Mull,Consumer,4,2014-07-22,2017-11-13,2913
EM-14140,Eugene Moren,Home Office,6,2014-07-19,2017-11-12,2914
EB-13705,Ed Braxton,Corporate,9,2014-07-08,2017-11-12,2914
DJ-13510,Don Jones,Corporate,8,2014-08-17,2017-11-12,2914
DB-13120,David Bremer,Corporate,7,2015-05-01,2017-11-12,2914
LB-16735,Larry Blacks,Consumer,3,2016-07-25,2017-11-12,2914
MB-17305,Maria Bertelson,Consumer,10,2014-08-08,2017-11-12,2914
NG-18355,Nat Gilpin,Corporate,5,2014-11-24,2017-11-12,2914
NG-18430,Nathan Gelder,Consumer,5,2014-11-24,2017-11-12,2914
JE-15610,Jim Epp,Corporate,7,2014-10-14,2017-11-12,2914
SF-20965,Sylvia Foulston,Corporate,9,2014-10-21,2017-11-12,2914
TB-21190,Thomas Brumley,Home Office,4,2014-12-27,2017-11-11,2915
JL-15505,Jeremy Lonsdale,Consumer,6,2014-11-14,2017-11-11,2915
MT-17815,Meg Tillman,Consumer,6,2015-11-06,2017-11-11,2915
MH-18025,Michelle Huthwaite,Consumer,5,2014-07-08,2017-11-11,2915
CG-12040,Catherine Glotzbach,Home Office,6,2015-06-01,2017-11-11,2915
DR-12940,Daniel Raglin,Home Office,8,2014-03-28,2017-11-10,2916
AB-10600,Ann Blume,Corporate,4,2014-11-18,2017-11-10,2916
GH-14425,Gary Hwang,Consumer,4,2014-06-17,2017-11-10,2916
JE-15745,Joel Eaton,Consumer,13,2014-06-22,2017-11-09,2917
MC-17590,Matt Collister,Corporate,6,2014-05-20,2017-11-09,2917
PM-19135,Peter McVee,Home Office,4,2015-12-19,2017-11-09,2917
KN-16450,Kean Nguyen,Corporate,5,2014-04-12,2017-11-08,2918
EC-14050,Erin Creighton,Consumer,5,2014-12-17,2017-11-07,2919
DB-13270,Deborah Brumfield,Home Office,8,2014-02-04,2017-11-07,2919
AB-10060,Adam Bellavance,Home Office,8,2015-09-18,2017-11-06,2920
CD-11980,Carol Darley,Consumer,3,2016-11-24,2017-11-06,2920
LC-17050,Liz Carlisle,Consumer,5,2014-01-31,2017-11-06,2920
ML-17410,Maris LaWare,Consumer,6,2014-11-14,2017-11-06,2920
JF-15565,Jill Fjeld,Consumer,8,2014-10-11,2017-11-06,2920
HG-14845,Harry Greene,Consumer,5,2014-04-29,2017-11-06,2920
RB-19705,Roger Barcio,Home Office,4,2015-08-22,2017-11-06,2920
VB-21745,Victoria Brennan,Corporate,6,2015-07-17,2017-11-06,2920
VM-21685,Valerie Mitchum,Home Office,7,2014-04-07,2017-11-06,2920
ZC-21910,Zuschuss Carroll,Consumer,13,2014-10-13,2017-11-06,2920
TS-21610,Troy Staebel,Consumer,7,2014-08-16,2017-11-05,2921
AA-10645,Anna Andreadi,Consumer,6,2014-06-22,2017-11-05,2921
AH-10195,Alan Haines,Corporate,4,2015-03-05,2017-11-05,2921
EM-13825,Elizabeth Moffitt,Corporate,8,2014-12-02,2017-11-05,2921
CA-12265,Christina Anderson,Consumer,9,2014-03-25,2017-11-04,2922
GT-14635,Grant Thornton,Corporate,3,2014-06-06,2017-11-04,2922
KM-16375,Katherine Murray,Home Office,8,2014-07-20,2017-11-04,2922
KC-16675,Kimberly Carter,Corporate,4,2014-12-13,2017-11-03,2923
JC-16105,Julie Creighton,Corporate,5,2014-11-18,2017-11-03,2923
JM-16195,Justin MacKendrick,Consumer,10,2014-04-30,2017-11-03,2923
JO-15145,Jack O'Briant,Corporate,9,2014-01-06,2017-11-03,2923
BG-11740,Bruce Geld,Consumer,6,2014-03-23,2017-11-03,2923
BF-11275,Beth Fritzler,Corporate,3,2014-03-22,2017-11-03,2923
EJ-14155,Eva Jacobs,Consumer,5,2014-03-03,2017-11-03,2923
DL-12925,Daniel Lacy,Consumer,6,2014-09-09,2017-11-03,2923
DM-13015,Darrin Martin,Consumer,7,2014-09-14,2017-11-03,2923
DL-13330,Denise Leinenbach,Consumer,4,2014-06-23,2017-11-03,2923
CR-12580,Clay Rozendal,Home Office,4,2016-04-18,2017-11-03,2923
PG-18895,Paul Gonzalez,Consumer,9,2014-05-11,2017-11-03,2923
PB-19105,Peter BÃ¼hler,Consumer,4,2014-11-15,2017-11-03,2923
NP-18670,Nora Paige,Consumer,5,2015-02-27,2017-11-02,2924
NL-18310,Nancy Lomonaco,Home Office,4,2014-10-31,2017-11-02,2924
TH-21115,Thea Hudgings,Corporate,4,2014-09-23,2017-11-02,2924
TB-21175,Thomas Boland,Corporate,4,2014-12-08,2017-11-02,2924
CS-12505,Cindy Stewart,Consumer,6,2014-03-26,2017-11-02,2924
AR-10825,Anthony Rawles,Corporate,8,2014-06-30,2017-11-02,2924
KH-16630,Ken Heidel,Corporate,9,2014-11-01,2017-11-02,2924
SF-20065,Sandra Flanagan,Consumer,7,2014-09-10,2017-11-01,2925
SF-20200,Sarah Foster,Consumer,9,2014-12-23,2017-11-01,2925
AH-10120,Adrian Hane,Home Office,7,2014-07-18,2017-10-31,2926
CY-12745,Craig Yedwab,Corporate,8,2014-12-12,2017-10-31,2926
MM-18055,Michelle Moray,Consumer,8,2014-04-11,2017-10-30,2927
JK-15625,Jim Karlsson,Consumer,7,2014-05-31,2017-10-30,2927
